"","MLS","sold_price","zipcode","longitude","latitude","lot_acres","taxes","year_built","bedrooms","bathrooms","sqrt_ft","garage","kitchen_features","fireplaces","floor_covering","HOA"
"1759","21729792","680000","85718","-110.891216","32.313466","1.02","3827.39","1979","4","5","3279","2","Dishwasher, Garbage Disposal, Refrigerator","2","Carpet, Ceramic Tile","21"
"1760","21726749","685000","85737","-110.969207","32.408074","0.56","7271.96","2004","4","3","3453","3","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Walk-In, Refrigerator, Appliance Color: White, Countertops: Granite, Oven: Double/Convection","1","Carpet, Concrete","50"
"1761","21800286","650000","85749","-110.751873","32.299064","3.23","6920","1995","4","3","3142","3","Dishwasher, Double Sink, Garbage Disposal, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Oven: Electric","4","Carpet, Mexican Tile","78.09"
"1762","21804154","685000","85755","-110.983145","32.449361","0.27","1288.81","2017","4","4","3716","2.5","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Stainless","0","Ceramic Tile","110"
"1763","21810074","7e+05","85749","-110.741956","32.295361","3.29","6864","1995","5","5","4044","3","Desk, Double Sink, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Countertops: granite/tile, Oven: yes","2","Carpet, Mexican Tile","78.09"
"1764","21816408","664000","85737","-110.971372","32.417962","1.6","7004.96","2002","5","4","3425","3","Dishwasher, Garbage Disposal, Refrigerator","2","Carpet, Ceramic Tile","23"
"1765","21828671","7e+05","85742","-111.017746","32.353534","1.13","5197.3","2009","4","4","2767","3","Desk, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Pantry: Walk-In, Wet Bar, Appliance Color: Stainless, Countertops: granite, Microwave: built in, Oven: stainless","1","Carpet, Ceramic Tile, Natural Stone","12"
"1766","21906447","667500","85718","-110.884696","32.32132","0.95","5416.06","1966","3","4","3710","4","Dishwasher, Double Sink, Electric Range, Garbage Disposal, Pantry: Cabinet, Refrigerator, Appliance Color: Black, Countertops: Granite, Oven: yes","1","Carpet, Mexican Tile, Wood","21"
"1767","3062128","685000","85614","-110.961349","31.856615","1.1","5898.42","2006","3","4","list(4017)","3","Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave","2","Carpet, Ceramic Tile","16.67"
"1768","21905413","7e+05","85641","-110.65504","32.110767","4.16","7139.96","2003","4","4","4318","4","Compactor, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Slate, Oven: Double","5","Ceramic Tile, Mexican Tile, Wood","10"
